Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
33257;Contravention de classe 4;NON CONSERVATION DU CERTIFICAT D'IMMATRICULATION INITIAL DU VEHICULE CEDE, RETIRE DE LA CIRCULATION OU TRANSFORME PAR SON PROPRIETAIRE PENDANT LES 5 ANNEES SUIVANT LA DECLARATION PAR VOIE ELECTRONIQUE;ART.R.350-3, ART.R.322-5 §I, ART.R.322-6 §I, ART.R.322-8 §I, ART.R.327-1 §I C.ROUTE. ART.10, ART.13, ART.15 ARR.MINIST DU 09/02/2009.;ART.R.350-3 AL.1 C.ROUTE.
33258;Délit;OUTRAGE ENVERS UN SUBORDONNE PAR UN MILITAIRE PENDANT LE SERVICE COMMIS EN RAISON DE LA RACE, L'ETHNIE, LA NATION OU LA RELIGION;ART.L.323-20 AL.1,AL.2 C.J.M. ART.132-76 C.PENAL.;ART.L.323-20 AL.1 C.J.M. ART.132-76 AL.1 7° C.PENAL.
33259;Délit;OUTRAGE ENVERS UN SUBORDONNE PAR UN MILITAIRE EN DEHORS DU SERVICE COMMIS EN RAISON DE LA RACE, L'ETHNIE, LA NATION OU LA RELIGION;ART.L.323-20 AL.1,AL.3 C.J.M. ART.132-76 C.PENAL.;ART.L.323-20 AL.3 C.J.M. ART.132-76 AL.1 7° C.PENAL.
33260;Délit;TERRORISME : VIOLENCE COMMISE EN REUNION SANS INCAPACITE;ART.421-1 1°, ART.222-13 AL.1 8° C.PENAL.;ART.421-3 AL.1 7°, ART.222-13 AL.1, ART.421-8, ART.422-3, ART.422-4, ART.422-6, ART.222-44, ART.222-45, ART.222-47 AL.1, ART.131-26-2 C.PENAL.
33261;Crime;TERRORISME : ARRESTATION, ENLEVEMENT, SEQUESTRATION OU DETENTION ARBITRAIRE SUIVI DE MORT COMMIS EN BANDE ORGANISEE;ART.421-1 1°, ART.224-5-2 AL.1, ART.224-2 AL.2, ART.224-1, ART.132-71 C.PENAL.;ART.224-5-2 AL.1, ART.224-2 AL.2, ART.421-7, ART.421-8, ART.422-3, ART.422-4, ART.422-6, ART.224-9, ART.224-10, ART.131-26-2 C.PENAL.
33262;Délit;INSCRIPTION INDUE ET FRAUDULEUSE D'UN ELECTEUR SUR UNE LISTE ELECTORALE;ART.L.113 AL.3, ART.L.18 §I C.ELECTORAL.;ART.L.113 AL.3, AL.1, ART.L.117 C.ELECTORAL. ART.131-26-2 C.PENAL.
33263;Délit;RADIATION INDUE ET FRAUDULEUSE D'UN ELECTEUR SUR UNE LISTE ELECTORALE;ART.L.113 AL.3, ART.L.18 §I C.ELECTORAL.;ART.L.113 AL.3, AL.1, ART.L.117 C.ELECTORAL. ART.131-26-2 C.PENAL.
33264;Contravention de classe 5;BLESSURES INVOLONTAIRES SANS INCAPACITE, PAR PERSONNE MORALE, PAR LA VIOLATION MANIFESTEMENT DELIBEREE D'UNE OBLIGATION DE SECURITE OU DE PRUDENCE;ART.R.625-5, ART.R.625-3, ART.121-2 C.PENAL.;ART.R.625-5, ART.131-41 C.PENAL.
33265;Délit;PARTICIPATION A UN GROUPEMENT FORME EN VUE DE LA PREPARATION DE VIOLENCES CONTRE LES PERSONNES OU DE DESTRUCTIONS OU DEGRADATIONS DE BIENS, LORS DE MANIFESTATION SUR LA VOIE PUBLIQUE;ART.222-14-2 C.PENAL.;ART.222-14-2, ART.222-44, ART.222-45, ART.222-47 AL.1,AL.2, ART.131-32-1 C.PENAL.
33266;Contravention de classe 1;NON PRESENTATION IMMEDIATE DU DOCUMENT AUTORISANT L'ACCOMPAGNEMENT D'UN APPRENTI CONDUCTEUR CORRESPONDANT A LA CATEGORIE DU VEHICULE UTILISE;ART.R.233-1 §I 3°, §III, ART.R.212-1, ART.L.212-1 C.ROUTE. ART.1 ARR.MINIST DU 08/01/2001.;ART.R.233-1 §III C.ROUTE.
33267;Contravention de classe 4;NON JUSTIFICATION DANS LES 5 JOURS DU DOCUMENT AUTORISANT L'ACCOMPAGNEMENT D'UN APPRENTI CONDUCTEUR CORRESPONDANT A LA CATEGORIE DU VEHICULE UTILISE;ART.R.233-1 §I 3°, §V, ART.R.212-1, ART.L.212-1 C.ROUTE. ART.1 ARR.MINIST DU 08/01/2001.;ART.R.233-1 §V C.ROUTE.
33268;Contravention de classe 3;INTRODUCTION SUR LE TERRITOIRE NATIONAL D'HYDROFLUOROCARBURES (HFC) SANS DECLARATION;ART.R.521-71, ART.R.521-70, ART.R.521-69 C.ENVIR. ART.1, ART.3 ARR.MINIST DU 18/12/2019.;ART.R.521-71, ART.L.173-7 2° C.ENVIR.
33269;Contravention de classe 3;SORTIE DU TERRITOIRE NATIONAL D'HYDROFLUOROCARBURES (HFC) SANS DECLARATION;ART.R.521-71, ART.R.521-70, ART.R.521-69 C.ENVIR. ART.1, ART.3 ARR.MINIST DU 18/12/2019.;ART.R.521-71, ART.L.173-7 2° C.ENVIR.
33270;Contravention de classe 3;APPRENTISSAGE DE LA CONDUITE AVEC UN VEHICULE NON EQUIPE DE RETROVISEURS CONFORMES A L'USAGE DE L'ENSEIGNANT OU DE L'ACCOMPAGNATEUR;ART.R.317-25 AL.2, AL.3, AL.1, AL.9 C.ROUTE. ART.6 B-3 ARR.MINIST DU 08/01/2001.;ART.R.317-25 AL.10 C.ROUTE.
33271;Contravention de classe 3;APPRENTISSAGE DE LA CONDUITE AVEC UN VEHICULE SANS SIGNALISATION REGLEMENTAIRE CONFORME DE LA SITUATION D'APPRENTISSAGE;ART.R.317-25 AL.6, AL.7, AL.9 C.ROUTE. ART.6 B-4 ARR.MINIST DU 08/01/2001.;ART.R.317-25 AL.10 C.ROUTE.
33272;Délit;EXERCICE TEMPORAIRE ET OCCASIONNEL SANS DECLARATION PREALABLE DE L'ENSEIGNEMENT DE LA CONDUITE OU DE L'ANIMATION DE STAGE DE SECURITE ROUTIERE PAR RESSORTISSANT DE L'UE OU DE L'EEE;ART.L.212-4 §I, ART.L.212-1 §II, ART.L.212-3 AL.1, ART.R.212-1 §II C.ROUTE.;ART.L.212-4 C.ROUTE.
33273;Délit;ANIMATION D'UN STAGE DE SENSIBILISATION A LA SECURITE ROUTIERE SANS AUTORISATION VALABLE;ART.L.212-4 §I, ART.L.212-1 §I, ART.L.212-3, ART.R.212-1 §I, ART.R.212-2 §II, ART.R.212-5 AL.1 C.ROUTE. ART.1, ART.2, ART.3, ART.6, ART.7, ART.8 ARR.MINIST DU 26/06/2012.;ART.L.212-4 C.ROUTE.
33274;Délit;EXPLOITATION D'UN ETABLISSEMENT ORGANISANT DES STAGES DE SENSIBILISATION A LA SECURITE ROUTIERE SANS AGREMENT VALABLE;ART.L.213-6 §I, AL.1, ART.L.213-1 AL.1, ART.R.213-1, ART.R.213-2 §II, ART.R.213-5 AL.1 C.ROUTE. ART.1, ART.2, ART.3, ART.8, ART.9 ARR.MINIST DU 26/06/2012.;ART.L.213-6 §I AL.1, §II C.ROUTE.
33275;Délit;EMPLOI D'UN ANIMATEUR NON TITULAIRE D'UNE AUTORISATION POUR L'ANIMATION DE STAGE DE SENSIBILISATION A LA SECURITE ROUTIERE;ART.L.213-6 §I AL.2, ART.L.212-1 §I, ART.R.212-1 §I, ART.R.212-2 §II C.ROUTE. ART.3 ARR.MINIST DU 26/06/2012.;ART.L.213-6 §I AL.1, §II C.ROUTE.
33276;Contravention de classe 5;DETENTION D'ARTIFICE DE DIVERTISSEMENT DE CATEGORIE 2 OU 3 CONCU POUR ETRE LANCE PAR UN MORTIER PAR UNE PERSONNE AGREEE NE POUVANT JUSTIFIER DE SON UTILISATION PAR UNE PERSONNE QUALIFIEE OU SOUS SON CONTROLE;ART.10 AL.1, ART.5 §II 1°, ART.4 2° A), ART.6 DECRET 2010-580 DU 31/05/2010. ART.R.557-6-1, ART.R.557-6-3 C.ENVIR. ART.28, ART.31, ART.32, ART.34 ARR.MINIST DU 31/05/2010.;ART.10 AL.1, AL.2 DECRET 2010-580 DU 31/05/2010.
33277;Contravention de classe 5;ACQUISITION D'ARTIFICE DE DIVERTISSEMENT DE CATEGORIE 2 OU 3 CONCU POUR ETRE LANCE PAR UN MORTIER PAR UNE PERSONNE AGREEE NE POUVANT JUSTIFIER DE SON UTILISATION PAR UNE PERSONNE QUALIFIEE OU SOUS SON CONTROLE;ART.10 AL.1, ART.5 §II 1°, ART.4 2° A), ART.6 DECRET 2010-580 DU 31/05/2010. ART.R.557-6-1, ART.R.557-6-3 C.ENVIR. ART.28, ART.31, ART.32, ART.34 ARR.MINIST DU 31/05/2010.;ART.10 AL.1, AL.2 DECRET 2010-580 DU 31/05/2010.
33278;Contravention de classe 5;ORGANISATION D'EXAMEN DE L'EPREUVE THEORIQUE GENERALE DU PERMIS DE CONDUIRE SANS AGREMENT VALABLE;ART.R.221-3-17 1°, ART.L.221-4, ART.R.221-3-4, ART.R.221-3-16 C.ROUTE. ART.3 ANX.UNIQUE ARR.MINIST DU 27/04/2016.;ART.R.221-3-17 AL.1 C.ROUTE.
33279;Contravention de classe 5;ORGANISATION D'EXAMEN DE L'EPREUVE THEORIQUE GENERALE DU PERMIS DE CONDUIRE DANS UN SITE SANS DECLARATION VALABLE;ART.R.221-3-17 2°, ART.R.221-3-5, ART.L.221-7 C.ROUTE.;ART.R.221-3-17 AL.1 C.ROUTE.
33280;Contravention de classe 5;SUPERVISION D'EXAMEN DE L'EPREUVE THEORIQUE GENERALE DU PERMIS DE CONDUIRE PAR UN EXAMINATEUR NE PRESENTANT PAS LES GARANTIES DE CAPACITE, DE COMPETENCE ET D'IMPARTIALITE REQUISES;ART.R.221-3-17 3°, ART.L.221-8, ART.R.221-3-10 C.ROUTE. ART.5 ANX.UNIQUE ARR.MINIST DU 27/04/2016.;ART.R.221-3-17 AL.1 C.ROUTE.
33281;Délit;NON ETABLISSEMENT D'UN ETAT CHIFFRE A JOUR DES PRODUITS RETIRES OU RAPPELES DU MARCHE;ART.L.452-7, ART.L.423-3 AL.1 C.CONSOMMAT.;ART.L.452-7 C.CONSOMMAT.
33286;Délit;PROMOTION D'UN CONTENU D'INFORMATION LIEE A UN DEBAT D'INTERET GENERAL SANS INFORMATION CONFORME SUR L'IDENTIFICATION DE LA PERSONNE REMUNERANT LA PLATEFORME EN LIGNE POUR CETTE PROMOTION - PERIODE ELECTORALE;ART.L.112, ART.L.163-1 AL.1, 1°, ART.D.102-1 §I, ART.D.102-2 §I C.ELECTORAL. ART.33, ART.39 REGLT.UE DU 19/10/2022.;ART.L.112 AL.1 C.ELECTORAL.
33287;Délit;PROMOTION D'UN CONTENU D'INFORMATION LIEE A UN DEBAT D'INTERET GENERAL SANS INFORMATION CONFORME DE L'UTILISATEUR SUR L'UTILISATION DE SES DONNEES PERSONNELLES PAR LA PLATEFORME EN LIGNE - PERIODE ELECTORALE;ART.L.112, ART.L.163-1 AL.1, 2°, ART.D.102-1 §I, ART.D.102-2 §I C.ELECTORAL. ART.33, ART.39 REGLT.UE DU 19/10/2022.;ART.L.112 AL.1 C.ELECTORAL.
33288;Délit;PROMOTION D'UN CONTENU D'INFORMATION LIEE A UN DEBAT D'INTERET GENERAL SANS RENDRE PUBLIC LE MONTANT DE LA REMUNERATION RECUE PAR LA PLATEFORME EN LIGNE EN CONTREPARTIE DE CETTE PROMOTION - PERIODE ELECTORALE;ART.L.112, ART.L.163-1 AL.1, 3°, ART.D.102-1, ART.D.102-2 §I C.ELECTORAL. ART.33, ART.39 REGLT.UE DU 19/10/2022.;ART.L.112 AL.1 C.ELECTORAL.
33289;Délit;NON MISE A DISPOSITION DU PUBLIC CONFORME DU REGISTRE D'INFORMATIONS ASSURANT LA TRANSPARENCE DE LA PROMOTION DE CONTENU D'INFORMATION LIEE A UN DEBAT D'INTERET GENERAL - PERIODE ELECTORALE;ART.L.112, ART.L.163-1, ART.D.102-1, ART.D.102-2 §II C.ELECTORAL. ART.33, ART.39 REGLT.UE DU 19/10/2022.;ART.L.112 AL.1 C.ELECTORAL.
33290;Contravention de classe 4;DETERIORATION DE MATERIEL, DE VEHICULE OU D'ESPACE AFFECTE AU TRANSPORT PUBLIC FERROVIAIRE OU GUIDE;ART.R.2242-7 3°, ART.L.2000-1 C.TRANSPORTS.;ART.R.2242-7 AL.5 C.TRANSPORTS.
33291;Contravention de classe 4;DETERIORATION OU ENLEVEMENT D'INSCRIPTION DU SERVICE DE TRANSPORT PUBLIC FERROVIAIRE OU GUIDE;ART.R.2242-5 AL.1, ART.L.2000-1 C.TRANSPORTS.;ART.R.2242-5 AL.2 C.TRANSPORTS.
33292;Contravention de classe 4;DETERIORATION OU ENLEVEMENT DE PUBLICITE REGULIEREMENT APPOSEE DANS UNE ZONE D'AFFICHAGE DU SERVICE DE TRANSPORT PUBLIC FERROVIAIRE OU GUIDE;ART.R.2242-5 AL.1, ART.L.2000-1 C.TRANSPORTS.;ART.R.2242-5 AL.2 C.TRANSPORTS.
33293;Contravention de classe 4;DETERIORATION DE MATERIEL, DE VEHICULE OU D'ESPACE AFFECTE AU TRANSPORT PUBLIC COLLECTIF ROUTIER;ART.R.3116-9, ART.R.3116-1, ART.R.2242-7 3° C.TRANSPORTS.;ART.R.3116-33, ART.R.2242-7 AL.5 C.TRANSPORTS.
33294;Contravention de classe 4;DETERIORATION OU ENLEVEMENT D'INSCRIPTION DU SERVICE DE TRANSPORT PUBLIC COLLECTIF ROUTIER;ART.R.3116-9, ART.R.3116-1, ART.R.2242-5 AL.1 C.TRANSPORTS.;ART.R.3116-33, ART.R.2242-5 AL.2 C.TRANSPORTS.
33295;Contravention de classe 4;DETERIORATION DE MATERIEL, DE VEHICULE OU D'ESPACE AFFECTE AU TRANSPORT PUBLIC PAR REMONTEE MECANIQUE;ART.R.342-19, ART.L.342-7 C.TOURISME. ART.R.2242-7 3° C.TRANSPORTS.;ART.R.2242-7 AL.5 C.TRANSPORTS.
33296;Contravention de classe 4;DETERIORATION OU ENLEVEMENT D'INSCRIPTION DU SERVICE DE TRANSPORT PUBLIC PAR REMONTEE MECANIQUE;ART.R.342-19, ART.L.342-7 C.TOURISME. ART.R.2242-5 AL.1 C.TRANSPORTS.;ART.R.2242-5 AL.2 C.TRANSPORTS.
33297;Délit;ECHOUAGE, PERTE OU DESTRUCTION VOLONTAIRE D'UN NAVIRE;ART.L.5263-2 C.TRANSPORTS.;ART.L.5263-2, ART.L.5263-5 C.TRANSPORTS. ART.322-6 AL.1, ART.322-15, ART.322-18, ART.131-30 AL.1 C.PENAL. ART.28 LOI DU 17/12/1926.
33298;Délit;CHASSE MALGRE INTERDICTION ADMINISTRATIVE D'OBTENIR UN PERMIS DE CHASSER;ART.L.428-2, ART.L.423-25-4 C.ENVIR.;ART.L.428-2, ART.L.428-14 AL.1, ART.L.173-7 C.ENVIR. ART.434-41 AL.1 C.PENAL.
33299;Délit;CHASSE MALGRE SUSPENSION ADMINISTRATIVE DU PERMIS DE CHASSER;ART.L.428-2, ART.L.423-25-2 AL.1, ART.L.423-25-4 C.ENVIR.;ART.L.428-2, ART.L.428-14 AL.1, ART.L.173-7 C.ENVIR. ART.434-41 AL.1 C.PENAL.
33300;Contravention de classe 5;PRESSION SUR LES CROYANCES DES ELEVES OU TENTATIVE D'ENDOCTRINEMENT D'ELEVE PENDANT UNE ACTIVITE LIEE A L'ENSEIGNEMENT, DANS UN ETABLISSEMENT PUBLIC D'ENSEIGNEMENT OU A SES ABORDS;ART.L.141-5-2 C.EDUCATION.;ART.L.141-5-2 AL.3 C.EDUCATION.
33301;Contravention de classe 3;MISE EN VENTE D'UN AERONEF CIVIL CIRCULANT SANS EQUIPAGE A BORD SANS NOTICE D'INFORMATION CONFORME - DRONE;ART.4, ART.1 DECRET 2019-348 DU 19/04/2019. ART.L.425-1 C.CONSOMMAT. ART.1 ARR.MINIST DU 19/04/2019.;ART.4 DECRET 2019-348 DU 19/04/2019.
33302;Contravention de classe 3;MISE EN VENTE DE PIECES DETACHEES D'AERONEFS CIVILS CIRCULANT SANS EQUIPAGE A BORD SANS NOTICE D'INFORMATION CONFORME - DRONE;ART.4, ART.2, ART.1 DECRET 2019-348 DU 19/04/2019. ART.L.425-1 C.CONSOMMAT. ART.1 ARR.MINIST DU 19/04/2019.;ART.4 DECRET 2019-348 DU 19/04/2019.
33303;Délit;INSCRIPTION D'UN ENFANT D'AGE SCOLAIRE DANS UN ETABLISSEMENT D'ENSEIGNEMENT PRIVE OUVERT ILLEGALEMENT APRES OBTENTION D'UNE AUTORISATION D'INSTRUCTION EN FAMILLE;ART.L.131-5 AL.16, AL.1, ART.L.441-1, ART.L.441-2, ART.L.441-3 C.EDUCATION.;ART.L.131-5 AL.16 C.EDUCATION. ART.441-7 AL.1 C.PENAL.
33304;Délit;DIRECTION D'ETABLISSEMENT PRIVE HORS CONTRAT DONT LES CONDITIONS DE FONCTIONNEMENT PRESENTENT UN RISQUE POUR L'ORDRE PUBLIC, LA SANTE OU LA SECURITE MALGRE MISE EN DEMEURE;ART.227-17-1 AL.2 C.PENAL. ART.L.442-2 §I, §IV 1° C.EDUCATION.;ART.227-17-1 AL.2, ART.227-29 C.PENAL.
33305;Délit;NON RESPECT D'UN ORDRE DE DELESTAGE PAR UN CONSOMMATEUR DE GAZ NATUREL PORTANT UNE ATTEINTE GRAVE A LA SECURITE DES PERSONNES ET DES BIENS;ART.L.434-4 AL.3, ART.L.434-1, ART.L.434-2 C.ENERGIE.;ART.L.434-4 AL.3 C.ENERGIE.
33306;Contravention de classe 4;OMISSION DE RENSEIGNER UNE DES INFORMATIONS OBLIGATOIRES DU REGISTRE DE FABRICATION ET COMMERCE DE MATERIEL DE GUERRE DE CATEGORIE A2;ART.R.2339-1 1°, ART.R.2332-17 AL.1, AL.2, ART.R.2332-18 AL.1, ART.R.2332-5 1° A),B), ART.L.2331-1 §I C.DEFENSE. ART.R.311-2 §I-A2 C.S.I. ART.1 ANX.UNIQUE ARR.MINIST DU 13/12/2017.;ART.R.2339-1 AL.1 C.DEFENSE.
33307;Contravention de classe 4;OMISSION DE RENSEIGNER UNE DES INFORMATIONS OBLIGATOIRES DU REGISTRE DES OPERATIONS D'INTERMEDIATION DES MATERIELS DE GUERRE DE CATEGORIE A2;ART.R.2339-1 1°, ART.R.2332-17 AL.10, ART.R.2332-18 AL.2, ART.R.2332-5 1° C), ART.L.2331-1 §I C.DEFENSE. ART.R.311-1 §III 1°, ART.R.311-2 §I-A2, ART.R.311-6 AL.1 C.S.I.;ART.R.2339-1 AL.1 C.DEFENSE.
33308;Contravention de classe 4;CONSERVATION EN LIBRE ACCES D'UN MATERIEL DE GUERRE DE CATEGORIE A2;ART.R.2339-5 1°, ART.R.2337-1 AL.1, ART.R.2332--5 C.DEFENSE. ART.R.312-27, ART.R.312-30, ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33309;Contravention de classe 4;CONSERVATION D'UN MATERIEL DE GUERRE DE CATEGORIE A2 DANS UN LOCAL NON SECURISE PAR UNE ALARME SONORE AUDIBLE DE LA VOIE PUBLIQUE;ART.R.2339-5 1°, ART.R.2337-1 AL.2, ART.R.2332--5 C.DEFENSE. ART.R.312-27, ART.R.312-30, ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33310;Contravention de classe 4;CONSERVATION EN ETAT DE MARCHE D'UN MATERIEL DE GUERRE DE CATEGORIE A2;ART.R.2339-5 1°, ART.R.2337-1 AL.2, ART.R.2332--5 C.DEFENSE. ART.R.312-27, ART.R.312-30, ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33311;Contravention de classe 4;CONSERVATION HORS D'UN COFFRE FORT DE SYSTEME D'ARME ET ARME EMBARQUEE D'UN MATERIEL DE GUERRE DE CATEGORIE A2;ART.R.2339-5 1°, ART.R.2337-1 AL.2, ART.R.2332--5 C.DEFENSE. ART.R.312-27, ART.R.312-30, ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33312;Contravention de classe 4;CONSERVATION HORS D'UN HANGAR D'UN AERONEF, MATERIEL DE GUERRE DE CATEGORIE A2;ART.R.2339-5 1°, ART.R.2337-2 1°, ART.R.2332--5 C.DEFENSE. ART.R.312-27, ART.R.312-30, ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33313;Contravention de classe 4;CONSERVATION EN ETAT DE MARCHE DE VEHICULE TERRESTRE, NAVIRE OU AERONEF, MATERIEL DE GUERRE DE CATEGORIE A2;ART.R.2339-5 1°, ART.R.2337-2 2°,3°, ART.R.2332--5 C.DEFENSE. ART.R.312-27, ART.R.312-30, ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33314;Contravention de classe 4;NON DECLARATION DE LA PERTE OU DU VOL D'UN MATERIEL DE GUERRE DE CATEGORIE A2;ART.R.2339-5 2°, ART.R.2337-4 1°, ART.R.2332--5 C.DEFENSE. ART.R.312-27, ART.R.312-30, ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33315;Contravention de classe 4;NON TRANSMISSION DE LA COPIE DU RECEPISSE DE DECLARATION DE PERTE OU DE VOL D'UN MATERIEL DE GUERRE DE CATEGORIE A2 A L'AUTORITE AYANT ACCORDE L'AUTORISATION DE DETENTION;ART.R.2339-5 2°, ART.R.2337-4 2°, ART.R.2332--5 C.DEFENSE. ART.R.312-27, ART.R.312-30, ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33316;Contravention de classe 4;ENTREE EN POSSESSION D'UN MATERIEL DE GUERRE DE CATEGORIE A2 SANS DECLARATION;ART.R.2339-5 3°, ART.R.2337-5 1° C.DEFENSE. ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33317;Contravention de classe 4;NON TRANSMISSION AU MINISTRE DE LA DEFENSE DE LA COPIE DE LA DECLARATION D'ENTREE EN POSSESSION D'UN MATERIEL DE GUERRE DE CATEGORIE A2;ART.R.2339-5 3°, ART.R.2337-5 2° C.DEFENSE. ART.R.311-2 §I-A2 C.S.I.;ART.R.2339-5 AL.1 C.DEFENSE.
33318;Délit;RECEL DE BIEN PROVENANT D'UN ABUS DES BIENS OU DU CREDIT D'UNE SOCIETE PAR ACTIONS PAR UN DIRIGEANT A DES FINS PERSONNELLES;ART.321-1 AL.1,AL.2 C.PENAL. ART.L.242-6 3°, ART.L.242-30, ART.L.243-1, ART.L.244-1, ART.L.246-2 C.COMMERCE.;ART.321-1 AL.3, ART.321-3, ART.321-9, ART.131-26-2, ART.131-30 AL.1 C.PENAL. ART.L.242-6 AL.6, ART.L.249-1 C.COMMERCE.
33319;Contravention de classe 5;INEXECUTION D'UNE MESURE DE RAPPEL OU DE RETRAIT D'UN PRODUIT OU D'UNE DENREE ALIMENTAIRE D'ORIGINE NON ANIMALE PAR LE RESPONSABLE D'ACTIVITE DE COMMERCE DE DETAIL OU DE DISTRIBUTION;ART.R.452-3-1 C.CONSOMMAT. ART.19 §2 REGLT.CE DU 28/01/2002.;ART.R.452-3-1 C.CONSOMMAT.
33320;Contravention de classe 5;NON TRANSMISSION PAR RESPONSABLE D'ACTIVITE DE COMMERCE DE DETAIL OU DE DISTRIBUTION D'INFORMATION PERMETTANT DE TRACER LE CHEMINEMENT DE DENREE ALIMENTAIRE D'ORIGINE NON ANIMALE RAPPELEE OU RETIREE DU MARCHE;ART.R.452-3-1 C.CONSOMMAT. ART.19 §2 REGLT.CE DU 28/01/2002.;ART.R.452-3-1 C.CONSOMMAT.
33321;Contravention de classe 5;INEXECUTION D'UNE MESURE DE RAPPEL OU DE RETRAIT D'ALIMENT POUR ANIMAUX D'ORIGINE NON ANIMALE PAR LE RESPONSABLE D'ACTIVITE DE COMMERCE DE DETAIL OU DE DISTRIBUTION;ART.R.452-3-1 C.CONSOMMAT. ART.20 §2 REGLT.CE DU 28/01/2002.;ART.R.452-3-1 C.CONSOMMAT.
33322;Contravention de classe 5;NON TRANSMISSION PAR RESPONSABLE D'ACTIVITE DE COMMERCE DE DETAIL OU DE DISTRIBUTION D'INFORMATION PERMETTANT DE TRACER LE CHEMINEMENT D'ALIMENT POUR ANIMAUX D'ORIGINE NON ANIMALE RAPPELE OU RETIRE DU MARCHE;ART.R.452-3-1 C.CONSOMMAT. ART.20 §2 REGLT.CE DU 28/01/2002.;ART.R.452-3-1 C.CONSOMMAT.
33323;Contravention de classe 5;RAPPEL DE PRODUIT NON CONFORME SANS EN FAIRE LA DECLARATION DEMATERIALISEE SUR LE SITE INTERNET DEDIE;ART.R.452-5, ART.L.423-3 AL.2 C.CONSOMMAT.;ART.R.452-5 C.CONSOMMAT.
33324;Délit;INEXECUTION D'UN ARRETE DE SUSPENSION DE MISE SUR LE MARCHE ET DE RETRAIT D'UN PRODUIT N'AYANT PAS FAIT L'OBJET D'UNE AUTORISATION, D'UN ENREGISTREMENT OU D'UNE DECLARATION;ART.L.532-3 AL.1, ART.L.521-16 C.CONSOMMAT.;ART.L.532-3 AL.1 C.CONSOMMAT.
33325;Délit;INEXECUTION D'UN ARRETE DE SUSPENSION DE MISE SUR LE MARCHE ET DE RETRAIT D'UN PRODUIT DANGEREUX N'AYANT PAS FAIT L'OBJET D'UNE AUTORISATION, D'UN ENREGISTREMENT OU D'UNE DECLARATION;ART.L.532-3, ART.L.521-16 C.CONSOMMAT.;ART.L.532-3 C.CONSOMMAT.
33327;Contravention de classe 5;MISE SUR LE MARCHE DE PRODUIT ABRASIF POUR MEULAGE OU TRONCONNAGE SANS MARQUAGE DES INDICATIONS OBLIGATOIRES;ART.5 1°, ART.3 2°, ANX.III, ART.1 DECRET 2003-158 DU 25/02/2003.;ART.5 AL.1 DECRET 2003-158 DU 25/02/2003.
33328;Contravention de classe 5;LOCATION DE PRODUIT ABRASIF POUR MEULAGE OU TRONCONNAGE SANS MARQUAGE DES INDICATIONS OBLIGATOIRES;ART.5 1°, ART.3 2°, ANX.III, ART.1 DECRET 2003-158 DU 25/02/2003.;ART.5 AL.1 DECRET 2003-158 DU 25/02/2003.
33329;Contravention de classe 4;CONDUITE D'UN VEHICULE AVEC UNE CONCENTRATION D'ALCOOL PAR LITRE D'AU MOINS 0,20 GRAMME DANS LE SANG OU 0,10 MILLIGRAMME DANS L'AIR EXPIRE - CONDUCTEUR SOUMIS A L'UTILISATION D'UN ETHYLOTEST ANTI-DEMARRAGE;ART.R.234-1 §I 1°, ART.L.234-1 §I, ART.L.234-17 C.ROUTE.;ART.R.234-1 §I AL.1,§III C.ROUTE.
33330;Délit;RECEL DE BIEN PROVENANT D'UNE ESCROQUERIE AGGRAVEE;ART.321-1 AL.1,AL.2, ART.313-2, ART.313-1 AL.1 C.PENAL.;ART.321-1 AL.3, ART.321-3, ART.321-4, ART.313-2 AL.1, ART.321-9, ART.321-10, ART.313-7, ART.313-8, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
33331;Délit;VENTE, DISTRIBUTION OU OFFRE A TITRE GRATUIT DE CONTENANT DE PLUS DE 30 GRAMMES DE TABACS FINE COUPE DESTINES A ROULER DES CIGARETTES DONT LE POIDS EN GRAMMES N'EST PAS MULTIPLE DE CINQ;ART.L.3515-3 §I 3°, ART.L.3512-14 C.SANTE.PUB.;ART.L.3515-3 §I AL.1, §II C.SANTE.PUB.
33332;Délit;BLANCHIMENT : AIDE A LA JUSTIFICATION MENSONGERE DE L'ORIGINE DES BIENS OU REVENUS DE L'AUTEUR D'UN DELIT DE FRAUDE FISCALE;ART.324-1 AL.1 C.PENAL. ART.1741 AL.1, ART.1743 C.G.I.;ART.324-1 AL.3, ART.324-3, ART.324-7, ART.131-30 AL.1 C.PENAL.
